,total population
ZCTA5 84531,920
ZCTA5 84531,+/-215
ZCTA5 84531,920
ZCTA5 84531,(X)
ZCTA5 84536,1998
ZCTA5 84536,+/-215
ZCTA5 84536,1998
ZCTA5 84536,(X)
ZCTA5 85003,9262
ZCTA5 85003,+/-800
ZCTA5 85003,9262
ZCTA5 85003,(X)
ZCTA5 85004,4649
ZCTA5 85004,+/-581
ZCTA5 85004,4649
ZCTA5 85004,(X)
ZCTA5 85006,26473
ZCTA5 85006,"+/-1,645"
ZCTA5 85006,26473
ZCTA5 85006,(X)
ZCTA5 85007,14114
ZCTA5 85007,"+/-1,204"
ZCTA5 85007,14114
ZCTA5 85007,(X)
ZCTA5 85008,55820
ZCTA5 85008,"+/-1,947"
ZCTA5 85008,55820
ZCTA5 85008,(X)
ZCTA5 85009,47667
ZCTA5 85009,"+/-2,169"
ZCTA5 85009,47667
ZCTA5 85009,(X)
ZCTA5 85012,6446
ZCTA5 85012,+/-679
ZCTA5 85012,6446
ZCTA5 85012,(X)
ZCTA5 85013,20479
ZCTA5 85013,"+/-1,374"
ZCTA5 85013,20479
ZCTA5 85013,(X)
ZCTA5 85014,24979
ZCTA5 85014,"+/-1,256"
ZCTA5 85014,24979
ZCTA5 85014,(X)
ZCTA5 85015,39719
ZCTA5 85015,"+/-2,224"
ZCTA5 85015,39719
ZCTA5 85015,(X)
ZCTA5 85016,33432
ZCTA5 85016,"+/-1,274"
ZCTA5 85016,33432
ZCTA5 85016,(X)
ZCTA5 85017,40333
ZCTA5 85017,"+/-1,759"
ZCTA5 85017,40333
ZCTA5 85017,(X)
ZCTA5 85018,37454
ZCTA5 85018,"+/-1,530"
ZCTA5 85018,37454
ZCTA5 85018,(X)
ZCTA5 85019,25866
ZCTA5 85019,"+/-1,622"
ZCTA5 85019,25866
ZCTA5 85019,(X)
ZCTA5 85020,32675
ZCTA5 85020,"+/-1,456"
ZCTA5 85020,32675
ZCTA5 85020,(X)
ZCTA5 85021,37018
ZCTA5 85021,"+/-1,781"
ZCTA5 85021,37018
ZCTA5 85021,(X)
ZCTA5 85022,48071
ZCTA5 85022,"+/-1,877"
ZCTA5 85022,48071
ZCTA5 85022,(X)
ZCTA5 85023,31486
ZCTA5 85023,"+/-1,396"
ZCTA5 85023,31486
ZCTA5 85023,(X)
ZCTA5 85024,23699
ZCTA5 85024,+/-903
ZCTA5 85024,23699
ZCTA5 85024,(X)
ZCTA5 85027,36244
ZCTA5 85027,"+/-1,643"
ZCTA5 85027,36244
ZCTA5 85027,(X)
ZCTA5 85028,18541
ZCTA5 85028,+/-794
ZCTA5 85028,18541
ZCTA5 85028,(X)
ZCTA5 85029,44241
ZCTA5 85029,"+/-1,543"
ZCTA5 85029,44241
ZCTA5 85029,(X)
ZCTA5 85031,27980
ZCTA5 85031,"+/-2,150"
ZCTA5 85031,27980
ZCTA5 85031,(X)
ZCTA5 85032,71347
ZCTA5 85032,"+/-1,968"
ZCTA5 85032,71347
ZCTA5 85032,(X)
ZCTA5 85033,58799
ZCTA5 85033,"+/-1,801"
ZCTA5 85033,58799
ZCTA5 85033,(X)
ZCTA5 85034,4586
ZCTA5 85034,+/-680
ZCTA5 85034,4586
ZCTA5 85034,(X)
ZCTA5 85035,54668
ZCTA5 85035,"+/-2,008"
ZCTA5 85035,54668
ZCTA5 85035,(X)
ZCTA5 85037,47465
ZCTA5 85037,"+/-1,989"
ZCTA5 85037,47465
ZCTA5 85037,(X)
ZCTA5 85040,30312
ZCTA5 85040,"+/-1,401"
ZCTA5 85040,30312
ZCTA5 85040,(X)
ZCTA5 85041,58191
ZCTA5 85041,"+/-2,929"
ZCTA5 85041,58191
ZCTA5 85041,(X)
ZCTA5 85042,41677
ZCTA5 85042,"+/-2,005"
ZCTA5 85042,41677
ZCTA5 85042,(X)
ZCTA5 85043,31724
ZCTA5 85043,"+/-1,910"
ZCTA5 85043,31724
ZCTA5 85043,(X)
ZCTA5 85044,38538
ZCTA5 85044,"+/-1,142"
ZCTA5 85044,38538
ZCTA5 85044,(X)
ZCTA5 85045,7420
ZCTA5 85045,+/-433
ZCTA5 85045,7420
ZCTA5 85045,(X)
ZCTA5 85048,34698
ZCTA5 85048,"+/-1,120"
ZCTA5 85048,34698
ZCTA5 85048,(X)
ZCTA5 85050,29490
ZCTA5 85050,"+/-1,161"
ZCTA5 85050,29490
ZCTA5 85050,(X)
ZCTA5 85051,43022
ZCTA5 85051,"+/-1,615"
ZCTA5 85051,43022
ZCTA5 85051,(X)
ZCTA5 85053,28366
ZCTA5 85053,"+/-1,118"
ZCTA5 85053,28366
ZCTA5 85053,(X)
ZCTA5 85054,5884
ZCTA5 85054,+/-430
ZCTA5 85054,5884
ZCTA5 85054,(X)
ZCTA5 85083,18663
ZCTA5 85083,"+/-1,024"
ZCTA5 85083,18663
ZCTA5 85083,(X)
ZCTA5 85085,18560
ZCTA5 85085,"+/-1,217"
ZCTA5 85085,18560
ZCTA5 85085,(X)
ZCTA5 85086,42749
ZCTA5 85086,"+/-2,275"
ZCTA5 85086,42749
ZCTA5 85086,(X)
ZCTA5 85087,7551
ZCTA5 85087,+/-824
ZCTA5 85087,7551
ZCTA5 85087,(X)
ZCTA5 85118,12005
ZCTA5 85118,+/-690
ZCTA5 85118,12005
ZCTA5 85118,(X)
ZCTA5 85119,20911
ZCTA5 85119,"+/-1,276"
ZCTA5 85119,20911
ZCTA5 85119,(X)
ZCTA5 85120,28038
ZCTA5 85120,"+/-1,257"
ZCTA5 85120,28038
ZCTA5 85120,(X)
ZCTA5 85121,3043
ZCTA5 85121,+/-573
ZCTA5 85121,3043
ZCTA5 85121,(X)
ZCTA5 85122,53558
ZCTA5 85122,+/-981
ZCTA5 85122,53558
ZCTA5 85122,(X)
ZCTA5 85123,9581
ZCTA5 85123,"+/-1,331"
ZCTA5 85123,9581
ZCTA5 85123,(X)
ZCTA5 85128,15965
ZCTA5 85128,+/-932
ZCTA5 85128,15965
ZCTA5 85128,(X)
ZCTA5 85131,18347
ZCTA5 85131,+/-451
ZCTA5 85131,18347
ZCTA5 85131,(X)
ZCTA5 85132,35681
ZCTA5 85132,"+/-1,255"
ZCTA5 85132,35681
ZCTA5 85132,(X)
ZCTA5 85135,591
ZCTA5 85135,+/-164
ZCTA5 85135,591
ZCTA5 85135,(X)
ZCTA5 85137,2751
ZCTA5 85137,+/-388
ZCTA5 85137,2751
ZCTA5 85137,(X)
ZCTA5 85138,35265
ZCTA5 85138,+/-893
ZCTA5 85138,35265
ZCTA5 85138,(X)
ZCTA5 85139,18074
ZCTA5 85139,"+/-1,329"
ZCTA5 85139,18074
ZCTA5 85139,(X)
ZCTA5 85140,39508
ZCTA5 85140,"+/-2,577"
ZCTA5 85140,39508
ZCTA5 85140,(X)
ZCTA5 85141,385
ZCTA5 85141,+/-143
ZCTA5 85141,385
ZCTA5 85141,(X)
ZCTA5 85142,53488
ZCTA5 85142,"+/-1,974"
ZCTA5 85142,53488
ZCTA5 85142,(X)
ZCTA5 85143,37873
ZCTA5 85143,"+/-2,730"
ZCTA5 85143,37873
ZCTA5 85143,(X)
ZCTA5 85145,1945
ZCTA5 85145,+/-320
ZCTA5 85145,1945
ZCTA5 85145,(X)
ZCTA5 85147,4834
ZCTA5 85147,+/-830
ZCTA5 85147,4834
ZCTA5 85147,(X)
ZCTA5 85172,1248
ZCTA5 85172,+/-556
ZCTA5 85172,1248
ZCTA5 85172,(X)
ZCTA5 85173,2913
ZCTA5 85173,+/-89
ZCTA5 85173,2913
ZCTA5 85173,(X)
ZCTA5 85192,1331
ZCTA5 85192,+/-397
ZCTA5 85192,1331
ZCTA5 85192,(X)
ZCTA5 85193,4007
ZCTA5 85193,+/-784
ZCTA5 85193,4007
ZCTA5 85193,(X)
ZCTA5 85194,6523
ZCTA5 85194,+/-691
ZCTA5 85194,6523
ZCTA5 85194,(X)
ZCTA5 85201,47815
ZCTA5 85201,"+/-1,800"
ZCTA5 85201,47815
ZCTA5 85201,(X)
ZCTA5 85202,36024
ZCTA5 85202,"+/-1,342"
ZCTA5 85202,36024
ZCTA5 85202,(X)
ZCTA5 85203,33935
ZCTA5 85203,"+/-1,210"
ZCTA5 85203,33935
ZCTA5 85203,(X)
ZCTA5 85204,62767
ZCTA5 85204,"+/-1,818"
ZCTA5 85204,62767
ZCTA5 85204,(X)
ZCTA5 85205,41891
ZCTA5 85205,"+/-1,317"
ZCTA5 85205,41891
ZCTA5 85205,(X)
ZCTA5 85206,32887
ZCTA5 85206,"+/-1,248"
ZCTA5 85206,32887
ZCTA5 85206,(X)
ZCTA5 85207,47142
ZCTA5 85207,"+/-1,626"
ZCTA5 85207,47142
ZCTA5 85207,(X)
ZCTA5 85208,36742
ZCTA5 85208,"+/-1,458"
ZCTA5 85208,36742
ZCTA5 85208,(X)
ZCTA5 85209,41525
ZCTA5 85209,"+/-1,511"
ZCTA5 85209,41525
ZCTA5 85209,(X)
ZCTA5 85210,38908
ZCTA5 85210,"+/-1,443"
ZCTA5 85210,38908
ZCTA5 85210,(X)
ZCTA5 85212,24685
ZCTA5 85212,"+/-1,227"
ZCTA5 85212,24685
ZCTA5 85212,(X)
ZCTA5 85213,33621
ZCTA5 85213,"+/-1,418"
ZCTA5 85213,33621
ZCTA5 85213,(X)
ZCTA5 85215,15594
ZCTA5 85215,+/-679
ZCTA5 85215,15594
ZCTA5 85215,(X)
ZCTA5 85224,44606
ZCTA5 85224,"+/-1,311"
ZCTA5 85224,44606
ZCTA5 85224,(X)
ZCTA5 85225,72300
ZCTA5 85225,"+/-1,431"
ZCTA5 85225,72300
ZCTA5 85225,(X)
ZCTA5 85226,38543
ZCTA5 85226,"+/-1,273"
ZCTA5 85226,38543
ZCTA5 85226,(X)
ZCTA5 85233,38015
ZCTA5 85233,"+/-1,170"
ZCTA5 85233,38015
ZCTA5 85233,(X)
ZCTA5 85234,51823
ZCTA5 85234,"+/-1,420"
ZCTA5 85234,51823
ZCTA5 85234,(X)
ZCTA5 85248,30253
ZCTA5 85248,+/-922
ZCTA5 85248,30253
ZCTA5 85248,(X)
ZCTA5 85249,39598
ZCTA5 85249,"+/-1,167"
ZCTA5 85249,39598
ZCTA5 85249,(X)
ZCTA5 85250,16850
ZCTA5 85250,+/-815
ZCTA5 85250,16850
ZCTA5 85250,(X)
ZCTA5 85251,37550
ZCTA5 85251,"+/-1,552"
ZCTA5 85251,37550
ZCTA5 85251,(X)
ZCTA5 85253,17166
ZCTA5 85253,+/-475
ZCTA5 85253,17166
ZCTA5 85253,(X)
ZCTA5 85254,45230
ZCTA5 85254,"+/-1,465"
ZCTA5 85254,45230
ZCTA5 85254,(X)
ZCTA5 85255,38082
ZCTA5 85255,"+/-1,341"
ZCTA5 85255,38082
ZCTA5 85255,(X)
ZCTA5 85256,4932
ZCTA5 85256,+/-580
ZCTA5 85256,4932
ZCTA5 85256,(X)
ZCTA5 85257,28684
ZCTA5 85257,"+/-1,310"
ZCTA5 85257,28684
ZCTA5 85257,(X)
ZCTA5 85258,22471
ZCTA5 85258,+/-928
ZCTA5 85258,22471
ZCTA5 85258,(X)
ZCTA5 85259,22265
ZCTA5 85259,"+/-1,323"
ZCTA5 85259,22265
ZCTA5 85259,(X)
ZCTA5 85260,36755
ZCTA5 85260,"+/-1,396"
ZCTA5 85260,36755
ZCTA5 85260,(X)
ZCTA5 85262,10990
ZCTA5 85262,+/-885
ZCTA5 85262,10990
ZCTA5 85262,(X)
ZCTA5 85263,2324
ZCTA5 85263,+/-540
ZCTA5 85263,2324
ZCTA5 85263,(X)
ZCTA5 85264,1123
ZCTA5 85264,+/-151
ZCTA5 85264,1123
ZCTA5 85264,(X)
ZCTA5 85266,10646
ZCTA5 85266,+/-708
ZCTA5 85266,10646
ZCTA5 85266,(X)
ZCTA5 85268,23214
ZCTA5 85268,+/-137
ZCTA5 85268,23214
ZCTA5 85268,(X)
ZCTA5 85281,57507
ZCTA5 85281,"+/-1,830"
ZCTA5 85281,57507
ZCTA5 85281,(X)
ZCTA5 85282,51930
ZCTA5 85282,"+/-1,462"
ZCTA5 85282,51930
ZCTA5 85282,(X)
ZCTA5 85283,46117
ZCTA5 85283,"+/-1,350"
ZCTA5 85283,46117
ZCTA5 85283,(X)
ZCTA5 85284,17315
ZCTA5 85284,+/-674
ZCTA5 85284,17315
ZCTA5 85284,(X)
ZCTA5 85286,39678
ZCTA5 85286,"+/-1,374"
ZCTA5 85286,39678
ZCTA5 85286,(X)
ZCTA5 85295,39947
ZCTA5 85295,"+/-1,200"
ZCTA5 85295,39947
ZCTA5 85295,(X)
ZCTA5 85296,41553
ZCTA5 85296,"+/-1,433"
ZCTA5 85296,41553
ZCTA5 85296,(X)
ZCTA5 85297,29228
ZCTA5 85297,"+/-1,314"
ZCTA5 85297,29228
ZCTA5 85297,(X)
ZCTA5 85298,25494
ZCTA5 85298,"+/-1,321"
ZCTA5 85298,25494
ZCTA5 85298,(X)
ZCTA5 85301,63060
ZCTA5 85301,"+/-2,097"
ZCTA5 85301,63060
ZCTA5 85301,(X)
ZCTA5 85302,38334
ZCTA5 85302,"+/-1,473"
ZCTA5 85302,38334
ZCTA5 85302,(X)
ZCTA5 85303,30754
ZCTA5 85303,"+/-1,426"
ZCTA5 85303,30754
ZCTA5 85303,(X)
ZCTA5 85304,26479
ZCTA5 85304,"+/-1,140"
ZCTA5 85304,26479
ZCTA5 85304,(X)
ZCTA5 85305,11545
ZCTA5 85305,+/-921
ZCTA5 85305,11545
ZCTA5 85305,(X)
ZCTA5 85306,24385
ZCTA5 85306,+/-912
ZCTA5 85306,24385
ZCTA5 85306,(X)
ZCTA5 85307,7556
ZCTA5 85307,+/-758
ZCTA5 85307,7556
ZCTA5 85307,(X)
ZCTA5 85308,63662
ZCTA5 85308,"+/-1,506"
ZCTA5 85308,63662
ZCTA5 85308,(X)
ZCTA5 85309,806
ZCTA5 85309,+/-247
ZCTA5 85309,806
ZCTA5 85309,(X)
ZCTA5 85310,19260
ZCTA5 85310,+/-996
ZCTA5 85310,19260
ZCTA5 85310,(X)
ZCTA5 85320,1157
ZCTA5 85320,+/-503
ZCTA5 85320,1157
ZCTA5 85320,(X)
ZCTA5 85321,4854
ZCTA5 85321,+/-579
ZCTA5 85321,4854
ZCTA5 85321,(X)
ZCTA5 85322,612
ZCTA5 85322,+/-286
ZCTA5 85322,612
ZCTA5 85322,(X)
ZCTA5 85323,39385
ZCTA5 85323,"+/-1,152"
ZCTA5 85323,39385
ZCTA5 85323,(X)
ZCTA5 85324,2550
ZCTA5 85324,+/-498
ZCTA5 85324,2550
ZCTA5 85324,(X)
ZCTA5 85325,802
ZCTA5 85325,+/-205
ZCTA5 85325,802
ZCTA5 85325,(X)
ZCTA5 85326,53868
ZCTA5 85326,"+/-1,412"
ZCTA5 85326,53868
ZCTA5 85326,(X)
ZCTA5 85328,285
ZCTA5 85328,+/-156
ZCTA5 85328,285
ZCTA5 85328,(X)
ZCTA5 85331,27396
ZCTA5 85331,+/-881
ZCTA5 85331,27396
ZCTA5 85331,(X)
ZCTA5 85332,1313
ZCTA5 85332,+/-315
ZCTA5 85332,1313
ZCTA5 85332,(X)
ZCTA5 85333,497
ZCTA5 85333,+/-135
ZCTA5 85333,497
ZCTA5 85333,(X)
ZCTA5 85334,1051
ZCTA5 85334,+/-307
ZCTA5 85334,1051
ZCTA5 85334,(X)
ZCTA5 85335,32600
ZCTA5 85335,+/-59
ZCTA5 85335,32600
ZCTA5 85335,(X)
ZCTA5 85336,714
ZCTA5 85336,+/-215
ZCTA5 85336,714
ZCTA5 85336,(X)
ZCTA5 85337,2948
ZCTA5 85337,+/-353
ZCTA5 85337,2948
ZCTA5 85337,(X)
ZCTA5 85338,46583
ZCTA5 85338,"+/-1,179"
ZCTA5 85338,46583
ZCTA5 85338,(X)
ZCTA5 85339,39137
ZCTA5 85339,"+/-2,107"
ZCTA5 85339,39137
ZCTA5 85339,(X)
ZCTA5 85340,28747
ZCTA5 85340,"+/-1,260"
ZCTA5 85340,28747
ZCTA5 85340,(X)
ZCTA5 85341,28
ZCTA5 85341,+/-48
ZCTA5 85341,28
ZCTA5 85341,(X)
ZCTA5 85342,1351
ZCTA5 85342,+/-285
ZCTA5 85342,1351
ZCTA5 85342,(X)
ZCTA5 85343,90
ZCTA5 85343,+/-84
ZCTA5 85343,90
ZCTA5 85343,(X)
ZCTA5 85344,9709
ZCTA5 85344,+/-520
ZCTA5 85344,9709
ZCTA5 85344,(X)
ZCTA5 85345,58852
ZCTA5 85345,"+/-1,403"
ZCTA5 85345,58852
ZCTA5 85345,(X)
ZCTA5 85346,4298
ZCTA5 85346,+/-248
ZCTA5 85346,4298
ZCTA5 85346,(X)
ZCTA5 85347,815
ZCTA5 85347,+/-381
ZCTA5 85347,815
ZCTA5 85347,(X)
ZCTA5 85348,2924
ZCTA5 85348,+/-553
ZCTA5 85348,2924
ZCTA5 85348,(X)
ZCTA5 85349,28340
ZCTA5 85349,+/-425
ZCTA5 85349,28340
ZCTA5 85349,(X)
ZCTA5 85350,22877
ZCTA5 85350,"+/-1,464"
ZCTA5 85350,22877
ZCTA5 85350,(X)
ZCTA5 85351,28771
ZCTA5 85351,+/-729
ZCTA5 85351,28771
ZCTA5 85351,(X)
ZCTA5 85352,268
ZCTA5 85352,+/-105
ZCTA5 85352,268
ZCTA5 85352,(X)
ZCTA5 85353,33920
ZCTA5 85353,"+/-1,257"
ZCTA5 85353,33920
ZCTA5 85353,(X)
ZCTA5 85354,5772
ZCTA5 85354,+/-758
ZCTA5 85354,5772
ZCTA5 85354,(X)
ZCTA5 85355,9649
ZCTA5 85355,+/-890
ZCTA5 85355,9649
ZCTA5 85355,(X)
ZCTA5 85356,4832
ZCTA5 85356,+/-406
ZCTA5 85356,4832
ZCTA5 85356,(X)
ZCTA5 85357,716
ZCTA5 85357,+/-241
ZCTA5 85357,716
ZCTA5 85357,(X)
ZCTA5 85360,209
ZCTA5 85360,+/-101
ZCTA5 85360,209
ZCTA5 85360,(X)
ZCTA5 85361,5984
ZCTA5 85361,+/-872
ZCTA5 85361,5984
ZCTA5 85361,(X)
ZCTA5 85362,562
ZCTA5 85362,+/-146
ZCTA5 85362,562
ZCTA5 85362,(X)
ZCTA5 85363,6418
ZCTA5 85363,+/-143
ZCTA5 85363,6418
ZCTA5 85363,(X)
ZCTA5 85364,72980
ZCTA5 85364,"+/-1,490"
ZCTA5 85364,72980
ZCTA5 85364,(X)
ZCTA5 85365,49624
ZCTA5 85365,"+/-1,784"
ZCTA5 85365,49624
ZCTA5 85365,(X)
ZCTA5 85367,20559
ZCTA5 85367,+/-967
ZCTA5 85367,20559
ZCTA5 85367,(X)
ZCTA5 85371,563
ZCTA5 85371,+/-195
ZCTA5 85371,563
ZCTA5 85371,(X)
ZCTA5 85373,18770
ZCTA5 85373,+/-934
ZCTA5 85373,18770
ZCTA5 85373,(X)
ZCTA5 85374,46507
ZCTA5 85374,"+/-1,610"
ZCTA5 85374,46507
ZCTA5 85374,(X)
ZCTA5 85375,27545
ZCTA5 85375,"+/-1,273"
ZCTA5 85375,27545
ZCTA5 85375,(X)
ZCTA5 85377,3048
ZCTA5 85377,+/-239
ZCTA5 85377,3048
ZCTA5 85377,(X)
ZCTA5 85379,42544
ZCTA5 85379,"+/-1,441"
ZCTA5 85379,42544
ZCTA5 85379,(X)
ZCTA5 85381,26100
ZCTA5 85381,+/-997
ZCTA5 85381,26100
ZCTA5 85381,(X)
ZCTA5 85382,40792
ZCTA5 85382,"+/-1,297"
ZCTA5 85382,40792
ZCTA5 85382,(X)
ZCTA5 85383,39552
ZCTA5 85383,"+/-1,365"
ZCTA5 85383,39552
ZCTA5 85383,(X)
ZCTA5 85387,10665
ZCTA5 85387,+/-959
ZCTA5 85387,10665
ZCTA5 85387,(X)
ZCTA5 85388,24065
ZCTA5 85388,"+/-1,344"
ZCTA5 85388,24065
ZCTA5 85388,(X)
ZCTA5 85390,8959
ZCTA5 85390,+/-579
ZCTA5 85390,8959
ZCTA5 85390,(X)
ZCTA5 85392,37172
ZCTA5 85392,"+/-1,075"
ZCTA5 85392,37172
ZCTA5 85392,(X)
ZCTA5 85395,25000
ZCTA5 85395,"+/-1,165"
ZCTA5 85395,25000
ZCTA5 85395,(X)
ZCTA5 85396,13506
ZCTA5 85396,"+/-1,004"
ZCTA5 85396,13506
ZCTA5 85396,(X)
ZCTA5 85501,13366
ZCTA5 85501,+/-907
ZCTA5 85501,13366
ZCTA5 85501,(X)
ZCTA5 85530,1734
ZCTA5 85530,+/-328
ZCTA5 85530,1734
ZCTA5 85530,(X)
ZCTA5 85531,422
ZCTA5 85531,+/-270
ZCTA5 85531,422
ZCTA5 85531,(X)
ZCTA5 85533,2952
ZCTA5 85533,+/-251
ZCTA5 85533,2952
ZCTA5 85533,(X)
ZCTA5 85534,2774
ZCTA5 85534,+/-253
ZCTA5 85534,2774
ZCTA5 85534,(X)
ZCTA5 85535,0
ZCTA5 85535,+/-13
ZCTA5 85535,0
ZCTA5 85535,(X)
ZCTA5 85536,517
ZCTA5 85536,+/-398
ZCTA5 85536,517
ZCTA5 85536,(X)
ZCTA5 85539,5367
ZCTA5 85539,+/-639
ZCTA5 85539,5367
ZCTA5 85539,(X)
ZCTA5 85540,3028
ZCTA5 85540,+/-264
ZCTA5 85540,3028
ZCTA5 85540,(X)
ZCTA5 85541,21784
ZCTA5 85541,+/-701
ZCTA5 85541,21784
ZCTA5 85541,(X)
ZCTA5 85542,3695
ZCTA5 85542,+/-435
ZCTA5 85542,3695
ZCTA5 85542,(X)
ZCTA5 85543,3476
ZCTA5 85543,+/-466
ZCTA5 85543,3476
ZCTA5 85543,(X)
ZCTA5 85544,1604
ZCTA5 85544,+/-420
ZCTA5 85544,1604
ZCTA5 85544,(X)
ZCTA5 85545,577
ZCTA5 85545,+/-218
ZCTA5 85545,577
ZCTA5 85545,(X)
ZCTA5 85546,20027
ZCTA5 85546,+/-736
ZCTA5 85546,20027
ZCTA5 85546,(X)
ZCTA5 85550,4990
ZCTA5 85550,+/-431
ZCTA5 85550,4990
ZCTA5 85550,(X)
ZCTA5 85551,445
ZCTA5 85551,+/-217
ZCTA5 85551,445
ZCTA5 85551,(X)
ZCTA5 85552,6278
ZCTA5 85552,+/-347
ZCTA5 85552,6278
ZCTA5 85552,(X)
ZCTA5 85553,1550
ZCTA5 85553,+/-298
ZCTA5 85553,1550
ZCTA5 85553,(X)
ZCTA5 85554,426
ZCTA5 85554,+/-143
ZCTA5 85554,426
ZCTA5 85554,(X)
ZCTA5 85601,635
