,zip,estimate,less than 10K,10K to 15K,15K to 20K,20K to 25K,25K to 30K,30K to 35K,35K to 40K,40K to 45K,45K to 50K,50K to 60K,60K to 75K,75K to 100K,100K to 125K,125K to 150K,150K to 200K,more than 200K,total,income
0,84531,Estimate,41,26,22,10,4,31,7,6,0,13,7,12,6,0,0,0,185,less than 10K
1,84536,Estimate,116,32,59,27,25,14,18,5,0,20,24,25,17,7,9,0,398,less than 10K
2,85003,Estimate,569,358,344,165,135,210,138,113,80,229,218,386,462,167,182,177,3933,less than 10K
3,85004,Estimate,433,192,203,96,68,70,74,58,106,104,121,145,59,70,105,71,1975,less than 10K
4,85006,Estimate,1978,834,625,734,669,420,564,332,291,277,605,518,217,154,46,74,8338,less than 10K
5,85007,Estimate,1039,530,436,286,238,243,147,250,107,229,286,323,261,152,95,187,4809,less than 10K
6,85008,Estimate,2215,1273,1634,1889,1625,1577,1402,1346,976,1679,1760,1488,685,287,244,131,20211,less than 10K
7,85009,Estimate,2858,1422,965,1307,898,756,513,500,526,793,675,424,210,127,105,30,12109,less than 10K
8,85012,Estimate,344,144,169,125,147,174,141,177,81,189,227,382,234,151,133,278,3096,75K to 100K
9,85013,Estimate,938,344,789,555,389,540,538,540,487,767,1032,940,625,380,362,510,9736,60K to 75K
10,85014,Estimate,1290,943,584,670,826,572,499,869,418,963,1165,1070,619,390,348,322,11548,less than 10K
11,85015,Estimate,2343,1627,1160,1066,982,912,681,710,456,1180,933,1032,607,318,196,93,14296,less than 10K
12,85016,Estimate,1582,714,970,842,1108,659,888,900,709,1256,1007,2159,1101,538,549,738,15720,75K to 100K
13,85017,Estimate,1650,1107,1335,835,1235,642,800,676,528,741,1064,584,225,80,132,44,11678,less than 10K
14,85018,Estimate,1274,1098,922,447,912,739,736,1006,452,1118,1465,1478,1107,859,842,1827,16282,more than 200K
15,85019,Estimate,1354,727,611,500,404,518,356,348,405,684,620,420,97,23,31,27,7125,less than 10K
16,85020,Estimate,1367,788,799,1316,926,790,703,712,524,1236,1356,1373,930,490,658,525,14493,75K to 100K
17,85021,Estimate,1798,981,1440,1044,829,820,821,836,636,1072,1120,1146,673,338,416,779,14749,less than 10K
18,85022,Estimate,1460,909,1372,1362,1384,1085,1167,1234,1028,1871,1482,2478,1509,963,835,580,20719,75K to 100K
19,85023,Estimate,864,504,617,658,975,642,783,630,489,931,1138,1250,797,609,502,468,11857,75K to 100K
20,85024,Estimate,328,311,266,259,413,658,466,623,338,771,1066,1451,1028,800,498,318,9594,75K to 100K
21,85027,Estimate,760,576,607,821,809,773,692,1225,578,1535,2006,1947,932,609,494,255,14619,60K to 75K
22,85028,Estimate,303,201,282,169,226,255,281,189,266,508,740,813,1014,598,1012,884,7741,100K to 125K
23,85029,Estimate,1371,1114,1273,1322,1254,831,965,773,582,1864,1902,1632,888,449,256,220,16696,60K to 75K
24,85031,Estimate,1862,829,631,627,496,286,516,398,274,541,354,468,184,61,0,27,7554,less than 10K
25,85032,Estimate,1413,1539,1597,2027,1227,1452,1571,1507,1678,2426,2832,2880,1909,1306,739,587,26690,75K to 100K
26,85033,Estimate,1563,1062,1417,1182,1354,1364,1121,756,959,1470,1100,832,478,147,105,49,14959,less than 10K
27,85034,Estimate,419,190,111,177,76,97,87,95,13,76,81,30,29,16,36,8,1541,less than 10K
28,85035,Estimate,1804,1088,1267,1374,1252,1324,1023,814,612,962,1037,985,339,100,47,9,14037,less than 10K
29,85037,Estimate,668,405,560,688,941,1114,979,961,673,1221,1918,1674,911,365,262,21,13361,60K to 75K
30,85040,Estimate,1664,778,709,657,583,461,522,399,332,696,672,681,303,151,126,167,8901,less than 10K
31,85041,Estimate,1665,915,668,1220,1004,1030,1099,1129,525,1444,1507,1685,920,489,311,272,15883,75K to 100K
32,85042,Estimate,1171,744,717,621,959,910,767,611,606,1364,1109,1313,889,629,344,339,13093,50K to 60K
33,85043,Estimate,606,555,556,430,660,897,609,725,425,725,951,1048,417,94,104,60,8862,75K to 100K
34,85044,Estimate,457,306,381,439,715,619,935,1134,789,1495,1891,2622,1797,1105,998,1036,16719,75K to 100K
35,85045,Estimate,59,23,10,59,26,51,59,65,59,153,196,476,217,318,381,450,2602,75K to 100K
36,85048,Estimate,399,313,329,310,213,271,339,337,423,837,1227,1677,1477,1383,1383,1881,12799,more than 200K
37,85050,Estimate,282,479,277,247,291,233,284,491,400,838,1157,1608,1340,743,1001,1073,10744,75K to 100K
38,85051,Estimate,1163,1215,1100,921,1026,1217,860,711,629,1139,1371,1476,797,298,266,186,14375,75K to 100K
39,85053,Estimate,717,515,474,681,798,971,534,903,449,872,1044,1498,685,420,193,100,10854,75K to 100K
40,85054,Estimate,127,13,52,59,67,30,216,226,134,220,415,320,468,294,248,234,3123,100K to 125K
41,85083,Estimate,116,17,203,81,28,149,121,138,134,320,612,1002,917,694,809,587,5928,75K to 100K
42,85085,Estimate,263,73,86,258,216,268,294,411,143,437,669,1617,568,570,411,557,6841,75K to 100K
43,85086,Estimate,412,177,318,172,386,539,534,516,884,1284,1294,1847,1655,1231,1317,1254,13820,75K to 100K
44,85087,Estimate,99,17,14,60,76,223,137,72,167,138,471,476,404,213,197,119,2883,75K to 100K
45,85118,Estimate,102,167,98,290,262,443,239,183,203,714,700,687,497,269,401,385,5640,50K to 60K
46,85119,Estimate,968,323,672,639,655,598,486,384,485,927,750,1130,690,283,216,157,9363,75K to 100K
47,85120,Estimate,1232,767,977,836,1049,1114,778,835,615,1142,919,847,297,227,142,98,11875,less than 10K
48,85121,Estimate,161,35,38,8,55,22,60,47,14,51,39,45,5,26,5,0,611,less than 10K
49,85122,Estimate,1493,963,1147,1090,1087,1188,1342,1094,1344,1675,1836,1898,886,500,614,253,18410,75K to 100K
50,85123,Estimate,262,179,168,251,20,178,398,382,164,414,493,420,174,143,36,13,3695,60K to 75K
51,85128,Estimate,508,361,390,222,481,251,177,218,233,439,475,669,236,115,79,25,4879,75K to 100K
52,85131,Estimate,593,398,289,384,214,255,188,164,135,242,220,288,43,114,30,15,3572,less than 10K
53,85132,Estimate,539,251,327,629,662,380,235,483,422,915,1041,924,278,261,150,74,7571,60K to 75K
54,85135,Estimate,11,6,16,26,12,3,21,30,26,0,14,16,3,0,0,0,184,40K to 45K
55,85137,Estimate,46,33,44,44,76,62,52,92,17,73,68,158,53,43,19,10,890,75K to 100K
56,85138,Estimate,419,115,321,312,535,730,378,569,693,803,1739,1859,1292,664,543,216,11188,75K to 100K
57,85139,Estimate,305,279,293,188,291,322,282,251,273,787,912,877,307,157,164,107,5795,60K to 75K
58,85140,Estimate,357,184,496,593,471,539,673,538,661,1336,1773,1647,1251,343,205,119,11186,60K to 75K
59,85141,Estimate,9,4,13,6,19,12,4,4,16,12,5,16,0,0,0,0,120,25K to 30K
60,85142,Estimate,455,234,364,454,329,872,747,611,772,1260,2032,2677,1951,985,1011,815,15569,75K to 100K
61,85143,Estimate,670,192,247,538,336,596,598,564,549,1267,1184,2105,1170,341,293,427,11077,75K to 100K
62,85145,Estimate,17,13,17,16,9,39,40,49,62,104,68,95,54,32,3,0,618,50K to 60K
63,85147,Estimate,383,110,65,18,61,105,50,63,16,69,99,56,21,0,16,0,1132,less than 10K
64,85172,Estimate,76,43,56,0,0,26,75,30,0,20,0,36,56,0,12,0,430,less than 10K
65,85173,Estimate,76,72,85,38,106,33,35,61,56,97,115,88,75,31,15,0,983,60K to 75K
66,85192,Estimate,26,31,26,2,83,20,29,21,17,73,82,81,25,14,0,5,535,25K to 30K
67,85193,Estimate,121,59,89,105,7,90,50,79,28,135,185,144,131,19,9,0,1251,60K to 75K
68,85194,Estimate,182,63,180,149,182,181,177,126,155,199,444,257,159,78,65,74,2671,60K to 75K
69,85201,Estimate,1401,1455,1465,2023,1455,1477,1290,1137,923,1199,1497,1182,791,590,302,158,18345,20K to 25K
70,85202,Estimate,1362,1007,855,1085,976,1240,832,748,998,1301,1479,1635,741,381,476,122,15238,75K to 100K
71,85203,Estimate,809,440,852,919,717,746,825,536,656,993,1133,1177,914,416,409,262,11804,75K to 100K
72,85204,Estimate,1033,1217,1558,1680,1401,1314,1207,1082,1161,2073,2239,2465,1068,462,370,239,20569,75K to 100K
73,85205,Estimate,1196,1253,1230,1174,1090,807,1229,1217,589,1359,1897,1748,1180,602,714,470,17755,60K to 75K
74,85206,Estimate,952,773,1128,963,774,801,791,1059,947,1233,1707,1330,1089,511,281,355,14694,60K to 75K
75,85207,Estimate,1161,506,745,758,824,766,569,596,492,1406,1912,2081,1923,1107,1273,1050,17169,75K to 100K
76,85208,Estimate,1016,822,1013,964,731,936,1048,825,794,1448,1363,1617,985,551,303,103,14519,75K to 100K
77,85209,Estimate,882,457,578,589,608,1012,820,999,724,1999,1752,2519,1404,751,633,264,15991,75K to 100K
78,85210,Estimate,1420,871,1134,701,991,1108,690,809,708,1052,943,1086,702,423,309,90,13037,less than 10K
79,85212,Estimate,209,101,160,176,254,234,233,358,301,426,935,1431,974,642,618,173,7225,75K to 100K
80,85213,Estimate,770,442,501,790,552,600,607,580,485,936,1336,1416,937,591,702,860,12105,75K to 100K
81,85215,Estimate,365,292,429,370,203,432,287,382,334,552,674,783,633,368,496,320,6920,75K to 100K
82,85224,Estimate,703,641,494,764,555,878,861,865,846,1714,2322,2697,1799,914,751,454,17258,75K to 100K
83,85225,Estimate,1546,1048,996,1262,981,1385,1245,1366,1349,2155,2922,3817,2057,1424,835,602,24990,75K to 100K
84,85226,Estimate,357,203,322,205,535,587,540,818,421,1335,1775,2390,2018,1250,1129,679,14564,75K to 100K
85,85233,Estimate,389,193,368,472,588,463,538,691,482,1128,1506,2275,1583,999,1042,872,13589,75K to 100K
86,85234,Estimate,543,564,473,508,527,690,556,656,497,965,1826,2760,2065,1544,1490,949,16613,75K to 100K
87,85248,Estimate,542,319,445,615,585,636,538,681,704,1057,1540,2013,1455,906,957,1009,14002,75K to 100K
88,85249,Estimate,457,215,245,339,319,353,399,641,357,640,984,1512,1867,1641,1643,1300,12912,100K to 125K
89,85250,Estimate,436,319,450,438,404,301,295,426,474,714,1060,1112,889,252,460,459,8489,75K to 100K
90,85251,Estimate,1515,827,994,965,820,1121,991,941,875,1252,1562,2002,1289,909,933,1153,18149,75K to 100K
91,85253,Estimate,415,124,186,268,299,153,231,157,130,306,476,562,573,287,524,2472,7163,more than 200K
92,85254,Estimate,736,291,260,432,576,585,551,682,410,1197,1717,2403,2063,1723,1894,2206,17726,75K to 100K
93,85255,Estimate,488,196,217,450,314,321,308,294,245,818,1015,1827,1518,1202,1867,3999,15079,more than 200K
94,85256,Estimate,152,84,155,166,112,83,135,53,59,104,151,126,49,76,8,0,1513,20K to 25K
95,85257,Estimate,610,728,824,841,478,666,471,740,626,1082,1231,1593,931,509,518,275,12123,75K to 100K
96,85258,Estimate,681,263,372,479,488,435,589,436,390,601,951,1255,1099,679,949,1578,11245,more than 200K
97,85259,Estimate,295,118,205,239,252,456,479,380,210,427,892,677,885,620,844,2296,9275,more than 200K
98,85260,Estimate,616,303,669,681,643,563,547,727,551,1488,1581,2683,1388,1136,1377,2073,17026,75K to 100K
99,85262,Estimate,107,68,61,139,148,89,129,130,32,196,179,464,534,593,775,1202,4846,more than 200K
100,85263,Estimate,48,23,16,16,86,32,0,44,15,137,106,43,109,175,141,175,1166,125K to 150K
101,85264,Estimate,40,14,5,29,9,19,14,8,26,25,27,26,35,6,33,14,330,less than 10K
102,85266,Estimate,188,125,193,38,107,77,132,112,189,218,428,470,521,370,610,937,4715,more than 200K
103,85268,Estimate,201,214,470,490,337,525,562,280,414,891,1318,1635,1082,623,846,854,10742,75K to 100K
104,85281,Estimate,4063,1637,1530,1266,1491,1175,747,1183,931,1617,1644,1540,823,626,297,200,20770,less than 10K
105,85282,Estimate,1743,1002,1161,1172,967,1006,996,1289,985,1787,2288,2323,1431,958,775,446,20329,75K to 100K
106,85283,Estimate,1201,685,891,1033,819,1181,745,1096,880,1848,2113,2093,1318,745,779,405,17832,60K to 75K
107,85284,Estimate,103,108,26,83,71,117,173,217,107,264,470,808,904,714,951,1035,6151,more than 200K
108,85286,Estimate,136,159,265,381,281,359,388,414,305,946,1314,2169,1665,1496,1372,1190,12840,75K to 100K
109,85295,Estimate,364,162,304,172,162,378,320,374,287,1425,1278,2275,1973,1831,941,744,12990,75K to 100K
110,85296,Estimate,244,193,229,191,335,311,277,463,666,762,1792,2286,2054,1114,1074,825,12816,75K to 100K
111,85297,Estimate,217,109,209,59,97,131,306,324,408,660,930,1531,1192,987,622,671,8453,75K to 100K
112,85298,Estimate,289,106,100,291,196,170,142,385,178,615,615,1159,1252,847,792,682,7819,100K to 125K
113,85301,Estimate,3044,2250,2442,1647,1605,1703,1067,1433,813,964,1353,1109,526,206,88,50,20300,less than 10K
114,85302,Estimate,1364,825,739,660,959,1312,856,677,545,1416,1344,1707,846,375,232,107,13964,75K to 100K
115,85303,Estimate,422,523,552,556,397,736,333,525,376,986,947,1100,642,194,263,53,8605,75K to 100K
116,85304,Estimate,483,393,517,443,294,403,239,472,422,875,1085,1405,1066,480,358,241,9176,75K to 100K
117,85305,Estimate,47,154,123,255,312,149,115,217,234,407,548,606,620,114,181,91,4173,100K to 125K
118,85306,Estimate,506,412,387,451,517,578,329,453,320,690,1184,1334,658,320,401,225,8765,75K to 100K
119,85307,Estimate,61,147,154,232,162,175,140,177,201,311,243,388,197,78,16,15,2697,75K to 100K
120,85308,Estimate,1167,631,593,792,748,1016,1167,1154,1041,2080,2606,3482,2851,1572,1762,1095,23757,75K to 100K
121,85309,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
122,85310,Estimate,203,54,100,146,125,70,176,246,187,484,801,1091,842,760,810,407,6502,75K to 100K
123,85320,Estimate,47,32,42,25,9,38,3,18,4,20,7,29,12,0,0,0,286,less than 10K
124,85321,Estimate,320,157,304,133,119,84,69,112,80,192,92,187,39,20,21,9,1938,less than 10K
125,85322,Estimate,26,16,1,18,28,14,27,3,0,6,24,32,9,8,6,0,218,75K to 100K
126,85323,Estimate,1231,662,591,413,631,756,592,579,494,930,1484,1264,618,487,184,39,10955,60K to 75K
127,85324,Estimate,28,65,72,137,191,72,82,102,73,92,135,55,39,0,0,10,1153,25K to 30K
128,85325,Estimate,34,77,46,43,45,43,11,25,21,75,30,5,0,0,10,0,465,10K to 15K
129,85326,Estimate,1053,802,710,604,836,831,687,891,773,952,1688,2582,951,592,430,131,14513,75K to 100K
130,85328,Estimate,23,8,0,0,0,0,12,22,12,12,10,0,0,12,10,0,121,less than 10K
131,85331,Estimate,342,262,143,315,329,99,387,434,432,833,874,1316,1324,1038,1214,1207,10549,100K to 125K
132,85332,Estimate,63,62,16,40,67,67,91,17,61,85,67,16,0,0,0,0,652,35K to 40K
133,85333,Estimate,17,13,10,8,14,27,5,3,21,19,13,13,11,3,0,2,179,30K to 35K
134,85334,Estimate,77,7,25,23,76,22,11,29,26,6,22,0,64,62,0,0,450,less than 10K
135,85335,Estimate,515,396,659,493,807,690,641,435,536,1145,1048,1537,423,403,104,56,9888,75K to 100K
136,85336,Estimate,10,15,12,0,71,13,7,0,0,25,53,10,0,0,0,0,216,25K to 30K
137,85337,Estimate,106,88,42,46,108,75,57,29,38,77,35,57,47,46,11,18,880,25K to 30K
138,85338,Estimate,645,298,514,502,249,751,677,940,662,1494,1630,2506,1697,919,858,229,14571,75K to 100K
139,85339,Estimate,650,348,264,353,322,787,335,489,605,840,1177,1767,1100,793,465,395,10690,75K to 100K
140,85340,Estimate,245,102,250,264,538,299,210,316,290,888,864,1496,1354,772,678,622,9188,75K to 100K
141,85341,Estimate,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,45K to 50K
142,85342,Estimate,41,34,45,63,14,29,53,23,30,27,83,95,25,28,9,0,599,75K to 100K
143,85343,Estimate,0,8,0,0,0,13,4,0,0,0,16,0,0,0,0,0,41,60K to 75K
144,85344,Estimate,333,421,247,304,388,366,236,183,235,241,449,319,218,100,90,57,4187,60K to 75K
145,85345,Estimate,1265,1310,1091,1626,1461,1208,1471,1007,1058,1939,2224,2572,1457,542,365,103,20699,75K to 100K
146,85346,Estimate,149,355,192,233,116,66,131,262,140,462,239,200,88,75,0,0,2708,50K to 60K
147,85347,Estimate,0,13,24,8,4,43,65,16,3,14,12,25,3,13,8,10,261,35K to 40K
148,85348,Estimate,61,78,66,180,97,99,134,78,58,82,170,138,9,7,0,3,1260,20K to 25K
149,85349,Estimate,1060,553,699,868,692,488,579,480,460,634,778,388,144,72,49,0,7944,less than 10K
150,85350,Estimate,615,503,733,370,459,442,386,296,279,394,492,454,215,80,22,50,5790,15K to 20K
151,85351,Estimate,899,1227,1825,1548,1563,1815,1173,1318,1152,1419,1360,1313,511,189,146,71,17529,15K to 20K
152,85352,Estimate,5,21,0,36,13,21,4,4,0,3,4,0,4,3,0,0,118,20K to 25K
153,85353,Estimate,615,283,405,320,567,512,485,715,295,1295,1221,1243,491,263,269,75,9054,50K to 60K
154,85354,Estimate,62,84,175,81,129,116,163,115,53,135,379,180,69,108,50,19,1918,60K to 75K
155,85355,Estimate,50,133,86,0,79,210,121,81,56,193,598,518,352,199,194,66,2936,60K to 75K
156,85356,Estimate,151,72,122,109,150,133,230,97,192,139,147,205,112,32,17,44,1952,35K to 40K
157,85357,Estimate,36,11,32,24,28,37,24,24,17,11,25,0,9,0,0,0,278,30K to 35K
158,85360,Estimate,22,7,10,5,8,0,8,4,7,0,10,4,12,2,0,0,99,less than 10K
159,85361,Estimate,150,37,64,139,142,60,74,156,171,257,203,270,188,23,38,14,1986,75K to 100K
160,85362,Estimate,52,42,47,29,11,30,32,9,9,13,11,32,15,3,0,5,340,less than 10K
161,85363,Estimate,278,191,187,190,128,144,147,70,45,272,231,179,123,82,19,6,2292,less than 10K
162,85364,Estimate,2316,2098,1529,2339,1855,1646,1609,1362,1033,2442,2725,2302,1348,709,293,401,26007,60K to 75K
163,85365,Estimate,959,528,1104,937,892,1358,928,1016,1020,1373,2040,2482,1420,567,680,436,17740,75K to 100K
164,85367,Estimate,515,449,512,616,605,746,460,357,400,863,1391,1252,674,360,320,210,9730,60K to 75K
165,85371,Estimate,21,6,60,56,32,0,0,13,8,0,21,6,9,6,0,0,238,15K to 20K
166,85373,Estimate,440,343,507,544,567,435,442,515,623,875,1013,1428,683,201,175,80,8871,75K to 100K
167,85374,Estimate,1121,838,1081,1282,1448,1199,1200,1102,1387,1979,2522,2379,1733,494,502,162,20429,60K to 75K
168,85375,Estimate,677,540,1066,894,1328,1160,1029,1005,842,1485,2065,1792,1040,560,329,270,16082,60K to 75K
169,85377,Estimate,81,201,87,44,0,106,48,44,18,53,44,224,254,115,180,168,1667,100K to 125K
170,85379,Estimate,356,339,220,380,387,504,461,520,608,1478,1496,2261,2107,796,570,299,12782,75K to 100K
171,85381,Estimate,286,137,355,493,339,344,404,294,467,869,1099,1618,1216,712,645,320,9598,75K to 100K
172,85382,Estimate,489,573,674,636,559,653,1028,932,649,1703,2038,2281,1566,1199,836,594,16410,75K to 100K
173,85383,Estimate,171,176,153,215,116,485,288,444,246,488,1233,2033,1918,1481,1607,1571,12625,75K to 100K
174,85387,Estimate,60,71,158,178,175,204,261,225,279,590,572,936,396,147,155,108,4515,75K to 100K
175,85388,Estimate,276,126,144,255,234,394,298,174,291,881,1133,1668,832,315,278,164,7463,75K to 100K
176,85390,Estimate,276,372,413,353,238,239,202,191,261,334,229,398,362,126,115,82,4191,15K to 20K
177,85392,Estimate,337,195,223,355,586,592,682,627,585,929,1965,1952,1193,716,692,277,11906,60K to 75K
178,85395,Estimate,486,142,112,66,253,436,380,419,373,709,904,1757,936,801,472,615,8861,75K to 100K
179,85396,Estimate,158,132,187,59,139,113,202,227,188,387,501,1021,342,378,212,402,4648,75K to 100K
180,85501,Estimate,392,570,398,360,462,157,190,227,167,551,454,586,381,59,134,25,5113,75K to 100K
181,85530,Estimate,149,10,42,27,36,30,21,0,18,7,48,21,19,0,0,9,437,less than 10K
182,85531,Estimate,0,8,0,8,27,0,0,19,12,7,0,22,8,9,23,7,150,25K to 30K
183,85533,Estimate,48,57,89,100,50,100,38,108,15,194,125,148,65,18,27,21,1203,50K to 60K
184,85534,Estimate,54,109,102,135,109,67,38,91,41,97,46,87,52,45,26,5,1104,20K to 25K
185,85535,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
186,85536,Estimate,0,0,0,23,42,8,9,0,0,36,17,0,0,0,0,0,135,25K to 30K
187,85539,Estimate,140,128,113,155,107,172,66,77,134,179,308,137,206,15,5,8,1950,60K to 75K
188,85540,Estimate,42,10,16,41,18,0,64,63,64,184,165,218,159,49,10,6,1109,75K to 100K
189,85541,Estimate,754,561,686,739,505,614,742,639,541,845,761,1064,362,260,227,109,9409,75K to 100K
190,85542,Estimate,202,69,32,66,18,10,33,62,39,68,58,53,52,18,11,0,791,less than 10K
